Rating,Location,Size,Type of ownership,Sector,Revenue,Years Founded,Min_Salary,Max_Salary,Seniority,HQ_Same,SQL,Excel,Python,Tableau,R,SAS
3.2,VA,51 to 200 employees,Company - Private,Telecommunications,$10 to $25 million (USD),18.0,49,112,Senior,1,0,0,1,0,0,0
3.4,VA,5001 to 10000 employees,Company - Private,Business Services,,2.0,49,112,Senior,0,0,0,0,0,0,0
3.1,VA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),18.0,49,112,Not specified,1,1,0,0,0,0,0
3.4,VA,5001 to 10000 employees,Company - Private,Business Services,,2.0,49,112,Senior,0,0,0,0,0,0,0
3.5,VA,501 to 1000 employees,Company - Private,"Construction, Repair & Maintenance",$100 to $500 million (USD),22.0,49,112,Not specified,0,0,0,0,0,0,0
3.6,VA,10000+ employees,Company - Public,Aerospace & Defense,$2 to $5 billion (USD),58.0,49,112,Not specified,1,1,1,0,0,0,0
3.7,VA,201 to 500 employees,Contract,Information Technology,,,49,112,Not specified,1,1,1,1,0,1,0
3.6,VA,1001 to 5000 employees,Company - Public,Business Services,$100 to $500 million (USD),19.0,49,112,Senior,0,0,1,0,0,0,0
3.3,VA,201 to 500 employees,Company - Private,Information Technology,$25 to $50 million (USD),20.0,49,112,Not specified,1,0,0,0,0,0,0
3.3,VA,201 to 500 employees,Company - Private,Information Technology,$25 to $50 million (USD),20.0,49,112,Not specified,1,0,0,0,0,0,0
5.0,FL,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,30,54,Junior,0,1,1,0,0,0,1
5.0,FL,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,30,54,Not specified,0,1,1,0,0,0,1
4.3,FL,10000+ employees,College / University,Education,$1 to $2 billion (USD),167.0,30,54,Not specified,1,1,0,1,0,1,1
3.1,FL,501 to 1000 employees,Nonprofit Organization,Insurance,$500 million to $1 billion (USD),24.0,30,54,Not specified,1,1,1,0,0,0,1
3.3,FL,1001 to 5000 employees,Nonprofit Organization,Health Care,$500 million to $1 billion (USD),36.0,30,54,Not specified,1,0,0,0,0,1,1
5.0,FL,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,30,54,Junior,0,1,1,0,0,0,1
5.0,FL,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,30,54,Junior,0,1,1,0,0,0,1
3.3,FL,1001 to 5000 employees,Nonprofit Organization,Health Care,$500 million to $1 billion (USD),36.0,30,54,Not specified,1,1,0,1,1,1,1
3.1,CA,1001 to 5000 employees,Company - Public,Information Technology,$100 to $500 million (USD),24.0,55,103,Not specified,1,1,1,0,1,0,0
3.6,CA,201 to 500 employees,Company - Private,Information Technology,,10.0,55,103,Senior,1,1,0,1,1,0,0
3.7,CA,1001 to 5000 employees,Company - Private,Information Technology,$500 million to $1 billion (USD),24.0,55,103,Not specified,0,1,1,1,0,1,0
5.0,CA,1 to 50 employees,Company - Private,Information Technology,$1 to $5 million (USD),6.0,55,103,Not specified,0,1,0,0,1,0,0
,CA,1 to 50 employees,Self-employed,Business Services,,7.0,55,103,Not specified,1,1,1,1,0,1,0
5.0,CA,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,55,103,Not specified,0,1,1,0,0,0,1
3.3,CA,1 to 50 employees,Company - Private,,,,55,103,Not specified,1,1,1,0,0,1,0
5.0,CA,51 to 200 employees,Subsidiary or Business Segment,Information Technology,$1 to $5 million (USD),2.0,55,103,Not specified,0,1,1,0,1,0,0
3.6,CA,1 to 50 employees,Company - Private,Information Technology,,3.0,55,103,Senior,0,1,0,1,1,1,0
4.3,CA,201 to 500 employees,Company - Private,Business Services,$50 to $100 million (USD),24.0,55,103,Not specified,0,1,0,0,1,0,0
4.3,CA,51 to 200 employees,Company - Private,Information Technology,,6.0,55,103,Not specified,1,1,1,1,1,1,1
3.2,CA,201 to 500 employees,Company - Private,Government,$10 to $25 million (USD),24.0,55,103,Not specified,1,0,0,0,0,0,1
4.5,CA,201 to 500 employees,Company - Private,Business Services,$25 to $50 million (USD),23.0,55,103,Not specified,0,0,1,0,0,0,0
4.3,CA,1 to 50 employees,Company - Private,Finance,,4.0,55,103,Senior,1,1,0,0,1,0,0
,CA,1 to 50 employees,Contract,,,,55,103,Not specified,0,1,1,1,1,0,0
4.0,CA,1 to 50 employees,Company - Private,Accounting & Legal,Less than $1 million (USD),,55,103,Not specified,0,0,0,0,0,0,0
,CA,1 to 50 employees,Company - Private,Information Technology,,,55,103,Not specified,1,1,0,0,1,0,0
3.6,CA,1001 to 5000 employees,Company - Private,Business Services,$100 to $500 million (USD),20.0,55,103,Not specified,0,1,0,0,0,0,0
3.5,CA,1 to 50 employees,Company - Private,,Less than $1 million (USD),,55,103,Not specified,1,1,0,1,0,1,0
5.0,CA,1 to 50 employees,Company - Private,Business Services,,9.0,55,103,Not specified,1,1,0,1,0,1,0
3.4,CA,51 to 200 employees,Company - Private,Information Technology,$5 to $10 million (USD),,55,103,Not specified,0,1,1,0,0,0,0
3.9,CA,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),118.0,55,103,Senior,1,1,0,0,0,0,0
3.5,CA,10000+ employees,Company - Public,Business Services,$2 to $5 billion (USD),72.0,55,103,Not specified,1,1,1,0,0,0,0
3.2,CA,1001 to 5000 employees,Company - Private,Health Care,,8.0,55,103,Not specified,1,1,1,1,1,0,0
4.7,CA,51 to 200 employees,Company - Private,Real Estate,,,55,103,Not specified,1,1,0,0,1,0,0
4.7,CA,51 to 200 employees,Company - Private,Media,,13.0,55,103,Not specified,1,1,0,1,1,1,0
4.0,CA,1 to 50 employees,Company - Private,Information Technology,,6.0,55,103,Not specified,1,1,0,0,1,0,0
3.4,CA,201 to 500 employees,Nonprofit Organization,Health Care,,76.0,55,103,Not specified,1,1,1,0,0,0,0
,CA,51 to 200 employees,Nonprofit Organization,Education,,,37,70,Not specified,0,0,0,1,0,1,1
3.7,CA,1 to 50 employees,Company - Private,Media,,,37,70,Not specified,0,1,0,0,0,0,0
4.1,CA,1001 to 5000 employees,Company - Private,"Construction, Repair & Maintenance",$2 to $5 billion (USD),132.0,37,70,Not specified,1,1,1,0,0,0,0
3.1,CA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),18.0,37,70,Not specified,0,1,1,0,0,0,0
3.7,CA,51 to 200 employees,Company - Private,Information Technology,$5 to $10 million (USD),20.0,37,70,Not specified,1,0,0,0,0,0,0
,CA,51 to 200 employees,Company - Public,,$5 to $10 million (USD),3.0,37,70,Not specified,1,1,0,1,0,0,0
3.9,CA,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),118.0,37,70,Senior,1,0,0,0,1,0,1
3.8,CA,201 to 500 employees,Company - Private,Information Technology,,7.0,37,70,Senior,1,1,0,1,0,0,0
3.5,CA,501 to 1000 employees,Subsidiary or Business Segment,Finance,,49.0,37,70,Not specified,1,1,1,1,1,0,0
5.0,CA,1 to 50 employees,Company - Private,,,,37,70,Not specified,1,1,0,1,1,1,1
3.8,CA,1001 to 5000 employees,Company - Private,Media,$1 to $2 billion (USD),13.0,37,70,Senior,1,1,0,1,1,1,1
3.8,CA,51 to 200 employees,Company - Private,Business Services,$5 to $10 million (USD),,37,70,Not specified,1,1,0,0,0,0,0
4.2,CA,10000+ employees,College / University,Education,$2 to $5 billion (USD),140.0,37,70,Not specified,1,0,0,0,0,0,0
3.1,CA,501 to 1000 employees,Nonprofit Organization,Business Services,$50 to $100 million (USD),47.0,37,70,Junior,0,1,0,0,0,0,1
4.1,CA,51 to 200 employees,Company - Private,Consumer Services,,4.0,37,70,Not specified,1,1,0,0,1,0,0
3.9,CA,5001 to 10000 employees,Company - Public,Media,$10+ billion (USD),97.0,37,70,Not specified,1,0,1,0,0,0,0
3.5,CA,51 to 200 employees,Company - Private,"Construction, Repair & Maintenance",$10 to $25 million (USD),,37,70,Not specified,0,0,0,0,0,0,0
3.9,CA,5001 to 10000 employees,Company - Public,Media,$2 to $5 billion (USD),38.0,37,70,Not specified,1,1,1,1,1,1,0
3.9,CA,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),118.0,37,70,Not specified,1,1,0,0,1,0,1
3.9,CA,5001 to 10000 employees,Company - Private,Finance,$1 to $2 billion (USD),89.0,37,70,Not specified,1,0,0,0,0,0,0
3.7,CA,10000+ employees,Subsidiary or Business Segment,Media,$10+ billion (USD),17.0,37,70,Senior,0,1,0,0,1,0,0
4.7,CA,1001 to 5000 employees,Nonprofit Organization,Health Care,$1 to $2 billion (USD),33.0,37,70,Not specified,1,0,0,0,0,0,0
4.0,CA,1 to 50 employees,Company - Private,Information Technology,,6.0,37,70,Senior,1,1,0,0,0,0,0
3.5,CA,201 to 500 employees,Government,Finance,$2 to $5 billion (USD),82.0,37,70,Senior,1,0,1,0,0,0,0
2.9,CA,201 to 500 employees,Company - Private,Media,$50 to $100 million (USD),,37,70,Not specified,0,0,0,0,0,0,0
2.8,CA,,Company - Private,,,,37,70,Not specified,1,1,0,0,1,0,0
3.1,CA,10000+ employees,Company - Public,Finance,$2 to $5 billion (USD),42.0,37,70,Not specified,0,1,1,0,0,0,0
5.0,CA,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,37,70,Junior,0,1,1,0,0,0,1
3.2,CA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),,57,103,Not specified,0,0,0,0,0,0,0
5.0,CA,1 to 50 employees,Company - Public,Business Services,,,57,103,Not specified,1,1,1,0,1,0,0
3.2,CA,201 to 500 employees,Company - Private,Government,$10 to $25 million (USD),24.0,57,103,Not specified,1,0,0,0,0,0,0
3.9,CA,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),118.0,57,103,Senior,1,1,0,0,1,0,0
4.5,CA,51 to 200 employees,Company - Private,Media,,30.0,57,103,Senior,1,1,0,0,0,0,0
3.9,CA,201 to 500 employees,Company - Private,Finance,,,57,103,Not specified,1,1,1,1,1,1,0
5.0,CA,1 to 50 employees,Company - Private,,,,57,103,Not specified,1,1,1,1,1,0,0
3.1,CA,1001 to 5000 employees,Nonprofit Organization,Health Care,,23.0,57,103,Not specified,1,0,1,0,0,0,1
3.6,CA,1001 to 5000 employees,Government,Government,,,57,103,Senior,1,1,1,0,0,1,1
3.3,CA,51 to 200 employees,Company - Private,Information Technology,$25 to $50 million (USD),19.0,57,103,Senior,1,1,0,1,0,1,0
3.7,CA,1 to 50 employees,Company - Public,Real Estate,,4.0,57,103,Not specified,1,1,1,1,1,1,1
4.6,CA,51 to 200 employees,Subsidiary or Business Segment,Education,,5.0,57,103,Senior,1,1,0,1,0,0,0
4.5,CA,51 to 200 employees,Company - Private,Business Services,,31.0,57,103,Not specified,1,0,1,0,0,0,0
3.9,CA,1001 to 5000 employees,Company - Public,Information Technology,$5 to $10 billion (USD),23.0,57,103,Not specified,1,0,0,0,0,0,0
3.8,CA,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),,57,103,Not specified,1,0,0,0,0,0,0
3.0,CA,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,$25 to $50 million (USD),49.0,57,103,Not specified,1,0,1,0,0,0,0
3.9,CA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),11.0,57,103,Not specified,1,1,0,0,0,0,0
3.4,CA,1001 to 5000 employees,Company - Private,Information Technology,$1 to $2 billion (USD),22.0,57,103,Not specified,1,1,1,0,1,0,0
3.5,CA,10000+ employees,Company - Public,Business Services,$2 to $5 billion (USD),72.0,57,103,Not specified,1,1,1,0,0,0,0
4.0,CA,5001 to 10000 employees,Company - Public,Media,,1.0,57,103,Senior,0,1,0,1,1,1,0
5.0,CA,1 to 50 employees,Nonprofit Organization,,,,57,103,Not specified,0,1,0,0,0,0,0
4.5,CA,501 to 1000 employees,Company - Private,Media,,3.0,57,103,Not specified,0,1,0,1,1,1,0
4.0,CA,5001 to 10000 employees,Company - Public,Health Care,,101.0,57,103,Not specified,1,0,0,0,0,0,0
3.5,CA,10000+ employees,Company - Public,Business Services,$2 to $5 billion (USD),72.0,57,103,Senior,1,1,1,0,1,0,0
3.4,CA,10000+ employees,Company - Public,Media,$5 to $10 billion (USD),41.0,57,103,Not specified,1,0,1,0,0,0,0
2.1,CA,201 to 500 employees,Company - Private,Retail,,8.0,57,103,Not specified,1,1,1,0,1,0,0
3.8,CA,201 to 500 employees,Company - Private,Information Technology,,7.0,57,103,Senior,1,1,0,1,0,0,0
5.0,CA,51 to 200 employees,Company - Private,Information Technology,$50 to $100 million (USD),12.0,35,45,Junior,0,1,1,0,0,0,1
,CA,1 to 50 employees,Company - Private,,,,35,45,Senior,0,1,0,0,1,0,0
4.0,CA,10000+ employees,Nonprofit Organization,Health Care,$10+ billion (USD),75.0,35,45,Senior,1,0,0,0,0,0,1
3.8,CA,5001 to 10000 employees,Company - Private,Business Services,,37.0,35,45,Senior,0,1,0,1,0,1,0
3.8,CA,501 to 1000 employees,Company - Private,Aerospace & Defense,$50 to $100 million (USD),47.0,35,45,Not specified,1,0,0,0,0,0,0
3.6,CA,1001 to 5000 employees,Subsidiary or Business Segment,Finance,,66.0,35,45,Not specified,1,0,0,0,0,0,0
4.9,CA,51 to 200 employees,Company - Private,Business Services,,15.0,35,45,Not specified,1,1,1,0,1,0,0
,CA,,Company - Public,,,,35,45,Not specified,1,1,0,0,0,0,1
3.6,CA,1001 to 5000 employees,Subsidiary or Business Segment,Finance,,66.0,35,45,Not specified,1,1,0,0,0,0,0
3.4,CA,1001 to 5000 employees,Company - Private,Information Technology,$1 to $2 billion (USD),22.0,35,45,Not specified,1,1,1,0,1,0,0
4.1,CA,10000+ employees,Company - Public,Business Services,$1 to $2 billion (USD),54.0,35,45,Not specified,0,0,0,0,0,0,0
3.4,CA,1 to 50 employees,Company - Private,,Less than $1 million (USD),,35,45,Senior,0,1,1,1,0,0,0
3.7,CA,10000+ employees,Subsidiary or Business Segment,Media,$10+ billion (USD),17.0,35,45,Not specified,0,0,1,0,0,0,0
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,35,45,Not specified,1,1,1,0,1,0,0
3.0,CA,201 to 500 employees,Company - Private,Consumer Services,,7.0,35,45,Senior,1,0,0,1,0,1,0
3.5,CA,201 to 500 employees,Company - Private,Business Services,$100 to $500 million (USD),14.0,35,45,Not specified,0,0,0,0,0,0,0
3.7,CA,10000+ employees,Company - Public,Information Technology,$10+ billion (USD),109.0,35,45,Not specified,0,0,1,0,0,0,0
3.6,CA,5001 to 10000 employees,Company - Private,Manufacturing,$2 to $5 billion (USD),40.0,35,45,Not specified,1,1,0,1,1,1,1
4.6,CA,51 to 200 employees,Company - Private,Business Services,$25 to $50 million (USD),19.0,35,45,Senior,1,1,0,1,1,0,0
3.8,CA,1001 to 5000 employees,Company - Private,Information Technology,,4.0,35,45,Senior,1,0,0,0,0,0,0
2.7,CA,501 to 1000 employees,Company - Public,Media,,72.0,35,45,Not specified,1,0,1,0,0,0,0
3.4,CA,1001 to 5000 employees,Company - Public,Insurance,$2 to $5 billion (USD),59.0,35,45,Not specified,1,0,1,0,0,0,1
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,35,45,Senior,1,1,1,0,0,0,0
,CA,1 to 50 employees,Company - Private,,,,35,45,Senior,1,1,0,1,1,1,0
3.7,CA,1 to 50 employees,Company - Public,Real Estate,,4.0,42,66,Not specified,1,1,1,1,1,1,1
,CA,,Company - Public,,,,42,66,Not specified,1,0,0,0,0,0,0
3.6,CA,1001 to 5000 employees,Company - Public,Business Services,$100 to $500 million (USD),26.0,42,66,Not specified,0,0,1,0,0,0,0
5.0,CA,,Company - Private,,,,42,66,Senior,0,1,0,0,1,0,0
4.0,CA,201 to 500 employees,Company - Private,Information Technology,$25 to $50 million (USD),24.0,42,66,Not specified,1,0,0,0,0,0,0
3.0,CA,1 to 50 employees,Company - Private,,,,42,66,Not specified,0,1,0,0,0,0,0
3.3,CA,201 to 500 employees,Company - Private,Information Technology,$25 to $50 million (USD),22.0,42,66,Senior,0,0,0,0,0,0,0
,CA,1 to 50 employees,Company - Private,,,,42,66,Not specified,1,1,1,0,1,0,0
4.0,CA,1 to 50 employees,Company - Private,Health Care,$1 to $5 million (USD),,42,66,Junior,0,1,1,0,1,0,1
4.9,CA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),15.0,42,66,Senior,1,1,0,1,1,1,1
3.6,CA,501 to 1000 employees,Company - Private,Business Services,$100 to $500 million (USD),,42,66,Not specified,0,1,0,0,0,0,0
3.6,CA,1001 to 5000 employees,Subsidiary or Business Segment,Finance,,66.0,42,66,Not specified,1,1,0,0,1,0,0
5.0,CA,51 to 200 employees,Company - Private,Consumer Services,Less than $1 million (USD),,42,66,Senior,1,1,0,0,0,0,0
3.8,CA,10000+ employees,Company - Public,Aerospace & Defense,$10+ billion (USD),81.0,42,66,Senior,0,0,0,0,0,0,0
4.3,CA,201 to 500 employees,Company - Private,Business Services,$50 to $100 million (USD),24.0,42,66,Senior,0,0,0,0,0,0,0
4.2,CA,1 to 50 employees,Company - Private,Information Technology,$10 to $25 million (USD),26.0,42,66,Senior,1,1,0,0,0,0,0
3.9,CA,501 to 1000 employees,Company - Private,Media,,10.0,42,66,Not specified,1,0,0,0,0,0,0
4.1,CA,10000+ employees,Company - Public,Information Technology,$10+ billion (USD),44.0,42,66,Not specified,1,1,1,1,1,1,0
3.4,CA,1 to 50 employees,Company - Private,Information Technology,$1 to $5 million (USD),,42,66,Not specified,0,1,1,1,0,0,0
5.0,CA,,Company - Private,,,,42,66,Not specified,0,0,1,0,0,0,0
3.8,CA,201 to 500 employees,Company - Private,Retail,,9.0,42,66,Senior,1,1,0,1,1,0,0
3.5,CA,51 to 200 employees,Company - Private,,,,42,66,Not specified,0,0,0,0,0,0,0
3.8,CA,1001 to 5000 employees,Company - Private,Information Technology,,4.0,42,66,Senior,1,1,0,1,1,1,1
,CA,1 to 50 employees,Company - Private,,,,42,66,Not specified,0,0,0,0,0,0,0
3.6,CA,1001 to 5000 employees,Subsidiary or Business Segment,Finance,,66.0,42,66,Not specified,1,0,1,0,0,0,0
3.4,CA,1001 to 5000 employees,Company - Public,Retail,$100 to $500 million (USD),25.0,42,66,Not specified,1,1,1,1,1,0,0
3.1,CA,1 to 50 employees,Company - Private,Information Technology,$10 to $25 million (USD),18.0,42,66,Senior,1,1,0,0,1,0,0
1.0,CA,1 to 50 employees,Company - Public,,,,42,66,Not specified,1,0,0,0,0,0,0
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,42,66,Not specified,1,1,1,0,1,0,0
4.7,CA,51 to 200 employees,Company - Private,Business Services,,6.0,65,81,Senior,1,1,0,1,1,0,0
3.9,CA,201 to 500 employees,Company - Private,Manufacturing,$100 to $500 million (USD),85.0,65,81,Junior,0,1,1,1,0,0,0
2.5,CA,501 to 1000 employees,Company - Public,Health Care,,26.0,65,81,Senior,1,1,1,1,0,0,0
3.5,CA,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),41.0,65,81,Not specified,1,0,0,0,0,0,0
3.8,CA,51 to 200 employees,Company - Private,Business Services,$5 to $10 million (USD),19.0,65,81,Not specified,1,0,1,0,0,0,0
3.8,CA,51 to 200 employees,Company - Private,Business Services,$5 to $10 million (USD),,65,81,Junior,1,1,0,0,0,0,0
4.0,CA,10000+ employees,Company - Public,Manufacturing,$10+ billion (USD),148.0,65,81,Senior,0,1,0,1,1,0,0
4.1,CA,5001 to 10000 employees,Nonprofit Organization,Insurance,$10+ billion (USD),81.0,65,81,Not specified,1,0,0,0,0,0,1
3.8,CA,10000+ employees,Company - Public,Manufacturing,$5 to $10 billion (USD),38.0,65,81,Junior,0,1,1,1,0,0,0
3.0,CA,1001 to 5000 employees,Company - Public,Finance,$1 to $2 billion (USD),30.0,65,81,Not specified,0,1,1,0,1,0,0
3.3,CA,201 to 500 employees,Company - Public,Retail,,17.0,65,81,Not specified,1,1,1,1,0,0,0
5.0,CA,1 to 50 employees,Company - Private,,Less than $1 million (USD),,65,81,Not specified,0,1,1,0,1,0,0
2.6,CA,201 to 500 employees,Company - Public,,$100 to $500 million (USD),,65,81,Senior,1,1,0,1,0,1,0
3.3,CA,1001 to 5000 employees,Nonprofit Organization,Education,$50 to $100 million (USD),17.0,65,81,Not specified,1,1,1,1,1,1,0
3.5,CA,201 to 500 employees,Company - Private,Business Services,$100 to $500 million (USD),14.0,65,81,Not specified,0,0,0,0,0,0,0
3.0,CA,1001 to 5000 employees,Company - Public,Finance,$1 to $2 billion (USD),30.0,65,81,Senior,0,0,0,0,0,0,0
2.8,CA,,Company - Private,,,,65,81,Senior,1,1,0,0,1,0,0
3.2,CA,501 to 1000 employees,Nonprofit Organization,Insurance,$2 to $5 billion (USD),43.0,65,81,Not specified,1,1,1,0,0,0,1
4.7,CA,51 to 200 employees,Company - Private,Media,,13.0,65,81,Senior,1,1,0,1,1,1,0
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,65,81,Senior,1,1,1,0,1,0,1
2.5,CA,51 to 200 employees,Company - Private,Manufacturing,$10 to $25 million (USD),,65,81,Not specified,0,0,0,0,0,0,0
3.3,CA,501 to 1000 employees,Company - Private,"Construction, Repair & Maintenance",,101.0,65,81,Not specified,1,0,0,0,0,0,0
,CA,1 to 50 employees,Company - Private,,,,65,81,Senior,1,0,0,0,0,0,0
2.9,CA,501 to 1000 employees,Nonprofit Organization,Health Care,$50 to $100 million (USD),94.0,113,132,Not specified,1,1,1,0,0,0,0
5.0,CA,51 to 200 employees,Company - Private,,,,113,132,Not specified,0,0,0,0,0,0,0
,CA,1 to 50 employees,Company - Public,,Less than $1 million (USD),7.0,113,132,Not specified,1,0,0,0,0,0,0
4.0,CA,51 to 200 employees,Company - Private,,,,113,132,Not specified,0,0,1,0,0,0,0
5.0,CA,1 to 50 employees,Company - Private,Business Services,,7.0,113,132,Senior,1,1,1,1,0,0,0
3.3,CA,501 to 1000 employees,Company - Private,"Construction, Repair & Maintenance",,101.0,113,132,Not specified,1,0,0,0,0,0,0
2.9,CA,201 to 500 employees,Company - Private,Accounting & Legal,,,113,132,Not specified,0,0,1,0,0,0,0
5.0,CA,,Company - Private,,,,113,132,Not specified,0,1,1,0,0,0,0
3.2,CA,501 to 1000 employees,Nonprofit Organization,Insurance,$2 to $5 billion (USD),43.0,113,132,Not specified,1,1,1,0,0,0,1
3.3,CA,1001 to 5000 employees,Company - Private,Business Services,$1 to $2 billion (USD),56.0,113,132,Not specified,1,0,0,0,0,0,0
3.8,CA,51 to 200 employees,Company - Private,Business Services,$5 to $10 million (USD),,113,132,Senior,1,1,0,0,0,0,0
4.0,CA,1 to 50 employees,Company - Private,Accounting & Legal,Less than $1 million (USD),,113,132,Senior,0,0,0,0,0,0,0
4.1,CA,5001 to 10000 employees,Nonprofit Organization,Insurance,$10+ billion (USD),81.0,113,132,Senior,1,1,1,0,1,0,1
2.8,CA,51 to 200 employees,Company - Private,Information Technology,$10 to $25 million (USD),29.0,113,132,Not specified,0,0,1,0,0,0,0
3.9,CA,5001 to 10000 employees,Company - Public,Media,$10+ billion (USD),97.0,113,132,Not specified,1,1,1,0,0,0,0
3.4,CA,10000+ employees,Nonprofit Organization,Health Care,$100 to $500 million (USD),165.0,113,132,Senior,0,1,0,1,1,0,0
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,113,132,Senior,1,1,1,0,1,0,1
3.1,CA,10000+ employees,Company - Public,Insurance,$10+ billion (USD),40.0,113,132,Senior,1,0,1,0,0,0,0
2.4,CA,201 to 500 employees,Nonprofit Organization,,,,113,132,Not specified,1,1,0,0,0,0,0
3.7,CA,10000+ employees,Subsidiary or Business Segment,Media,$10+ billion (USD),17.0,113,132,Not specified,0,1,1,0,0,0,0
3.3,CA,1001 to 5000 employees,Company - Private,Business Services,$1 to $2 billion (USD),56.0,113,132,Not specified,1,0,0,0,0,0,0
4.6,CA,201 to 500 employees,Company - Private,Business Services,,21.0,113,132,Not specified,1,0,0,0,0,0,0
2.9,CA,1 to 50 employees,Company - Private,Business Services,,7.0,113,132,Not specified,1,0,1,0,0,0,0
3.6,CA,5001 to 10000 employees,Nonprofit Organization,Health Care,$1 to $2 billion (USD),61.0,113,132,Not specified,1,1,1,0,0,0,0
3.8,CA,1001 to 5000 employees,Company - Private,Information Technology,,4.0,113,132,Senior,1,1,0,1,0,1,0
3.4,CA,1001 to 5000 employees,Company - Public,Insurance,$2 to $5 billion (USD),59.0,113,132,Not specified,1,0,1,0,0,0,1
3.9,IL,1001 to 5000 employees,Company - Public,Finance,$500 million to $1 billion (USD),29.0,60,66,Not specified,1,1,0,1,1,0,0
3.7,IL,501 to 1000 employees,Company - Private,"Arts, Entertainment & Recreation",,20.0,60,66,Not specified,1,1,0,0,1,0,0
3.7,IL,201 to 500 employees,Company - Private,Information Technology,$100 to $500 million (USD),13.0,60,66,Not specified,0,1,0,0,0,0,0
5.0,IL,501 to 1000 employees,Company - Private,Business Services,$100 to $500 million (USD),21.0,60,66,Not specified,0,1,0,0,0,0,0
3.2,IL,501 to 1000 employees,Company - Private,Health Care,,19.0,60,66,Not specified,1,1,1,1,1,0,0
3.4,IL,5001 to 10000 employees,Company - Public,Business Services,$5 to $10 billion (USD),74.0,60,66,Junior,0,1,1,0,0,0,0
3.4,IL,5001 to 10000 employees,Company - Public,Business Services,$5 to $10 billion (USD),74.0,60,66,Not specified,0,1,1,1,1,1,0
3.8,IL,201 to 500 employees,Subsidiary or Business Segment,Business Services,,19.0,60,66,Not specified,0,1,0,0,1,0,0
2.8,IL,201 to 500 employees,Company - Private,Manufacturing,,21.0,60,66,Not specified,1,1,0,0,0,0,0
3.3,IL,5001 to 10000 employees,Company - Public,Information Technology,$1 to $2 billion (USD),34.0,60,66,Not specified,1,1,0,0,0,0,1
3.7,IL,201 to 500 employees,Company - Private,Transportation & Logistics,$100 to $500 million (USD),9.0,60,66,Junior,0,0,1,0,0,0,0
4.0,IL,10000+ employees,College / University,Education,$2 to $5 billion (USD),130.0,60,66,Not specified,1,0,1,0,0,1,0
3.9,IL,51 to 200 employees,Company - Private,Business Services,$100 to $500 million (USD),20.0,60,66,Not specified,0,0,0,0,1,0,0
,IL,1 to 50 employees,Company - Private,,,,60,66,Junior,0,1,1,0,0,0,0
4.6,IL,201 to 500 employees,Company - Private,Business Services,$50 to $100 million (USD),10.0,60,66,Junior,1,1,1,0,0,0,0
4.6,IL,201 to 500 employees,Company - Private,Business Services,$50 to $100 million (USD),10.0,60,66,Not specified,1,1,0,0,0,0,0
4.1,IL,10000+ employees,Company - Private,Manufacturing,$10+ billion (USD),134.0,60,66,Not specified,0,0,1,0,0,0,0
3.3,IL,51 to 200 employees,Company - Private,Finance,$1 to $2 billion (USD),21.0,60,66,Not specified,0,1,1,0,0,0,0
3.3,IL,51 to 200 employees,Nonprofit Organization,Non-Profit,$2 to $5 billion (USD),41.0,60,66,Not specified,1,0,1,0,1,0,0
4.7,IL,51 to 200 employees,Company - Private,Business Services,$10 to $25 million (USD),26.0,60,66,Not specified,1,1,0,0,1,0,1
4.3,IL,201 to 500 employees,Contract,Information Technology,$25 to $50 million (USD),23.0,60,66,Not specified,1,1,0,0,0,0,0
3.2,IL,10000+ employees,Subsidiary or Business Segment,Finance,$2 to $5 billion (USD),138.0,60,66,Not specified,1,1,0,1,1,1,1
3.3,IL,1001 to 5000 employees,Company - Private,Business Services,$1 to $2 billion (USD),56.0,60,66,Not specified,0,1,1,0,0,0,0
